slug,field,old_value,new_value,source_note
pixie-ducking-osis,notation,,PIXIE DUCKING OSIS,W3c 2026-05-27: JOB per mechanical uppercase rule.
pixie-ducking-osis,operational_notation,,TOE > SAME IN [DEX] >> DUCK [BOD] >> (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W3c 2026-05-27: phoenix/assassin chassis with osis's body-spin in the inner-dex slot. Double [BOD] per stepping-ducking-osis precedent. 5 brackets matches 5 ADD.
pixie-ducking-whirl,notation,,PIXIE DUCKING WHIRL,W3c 2026-05-27: JOB per mechanical uppercase rule.
pixie-ducking-whirl,operational_notation,,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP IN [DEX] > OP CLIP [XBD] [DEL],W3c 2026-05-27: phoenix/assassin chassis with whirl's IN-dex + cross-body clipper terminator. 5 brackets matches 5 ADD.
pixie-diving-mirage,notation,,PIXIE DIVING MIRAGE,W3c 2026-05-27: JOB per mechanical uppercase rule.
pixie-diving-mirage,operational_notation,,TOE > SAME IN [DEX] >> DIVE [BOD] >> OP IN [DEX] > OP TOE [DEL],W3c 2026-05-27: darkwalk chassis with mirage's OP IN dex + op-toe terminator. 4 brackets matches 4 ADD.
pixie-diving-pickup,notation,,PIXIE DIVING PICKUP,W3c 2026-05-27: JOB per mechanical uppercase rule.
pixie-diving-pickup,operational_notation,,TOE > SAME IN [DEX] >> DIVE [BOD] >> OP IN [DEX] > SAME TOE [DEL],W3c 2026-05-27: darkwalk chassis with pickup's same-toe terminator. 4 brackets matches 4 ADD.
pixie-diving-whirl,notation,,PIXIE DIVING WHIRL,W3c 2026-05-27: JOB per mechanical uppercase rule.
pixie-diving-whirl,operational_notation,,TOE > SAME IN [DEX] >> DIVE [BOD] >> OP IN [DEX] > OP CLIP [XBD] [DEL],W3c 2026-05-27: darkwalk chassis with whirl's IN-dex + cross-body clipper terminator. 5 brackets matches 5 ADD.
pixie-dyno,notation,,PIXIE DYNO,W3d 2026-05-27: JOB per mechanical uppercase rule.
pixie-dyno,operational_notation,,TOE > SAME IN [DEX] > OP OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W3d 2026-05-27: pixie set + dyno chassis. 5 brackets matches 5 ADD.
pixie-dada-curve,notation,,PIXIE DADA CURVE,W3d 2026-05-27: JOB per mechanical uppercase rule.
pixie-dada-curve,operational_notation,,TOE > SAME IN [DEX] >> OP IN [DEX] > (no plant while) OP OUT [DEX] > OP CLIP [XBD] [DEL],W3d 2026-05-27: pixie set + dada-curve chassis (no-plant double-dex + op-clip terminator). 5 brackets matches 5 ADD.
pixie-diving-symposium-mirage,notation,,PIXIE DIVING SYMPOSIUM MIRAGE,W3d 2026-05-27: JOB per mechanical uppercase rule.
pixie-diving-symposium-mirage,operational_notation,,TOE > SAME IN [DEX] >> DIVE [BOD] >> (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],W3d 2026-05-27: pixie set + DIVE body event + symposium-mirage no-plant body+dex + toe terminator. 5 brackets matches 5 ADD.
atomic-flail,notation,,ATOMIC FLAIL,W4a 2026-05-27: JOB per mechanical uppercase rule.
atomic-flail,operational_notation,,TOE > OP OUT [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL],W4a 2026-05-27: atomic-butterfly chassis + flail's no-plant body+dex + toe terminator. 4 brackets matches 4 ADD.
atomic-barrage,notation,,ATOMIC BARRAGE,W4a 2026-05-27: JOB per mechanical uppercase rule.
atomic-barrage,operational_notation,,TOE > OP OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],W4a 2026-05-27: atomic-butterfly chassis + barrage's SAME IN double-dex chain + toe terminator. 4 brackets matches 4 ADD.
atomic-clipper,notation,,ATOMIC CLIPPER,W4a 2026-05-27: JOB per mechanical uppercase rule.
atomic-clipper,operational_notation,,TOE > OP OUT [DEX] > OP CLIP [XBD] [DEL],W4a 2026-05-27: atomic dex prefixed to clipper-stall terminal (cross-body clipper). 3 brackets matches 3 ADD.
fairy-mirage,notation,,FAIRY MIRAGE,W5a 2026-05-27: JOB per mechanical uppercase rule.
fairy-mirage,operational_notation,,TOE > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL],W5a 2026-05-27: fairy set + mirage chassis. 3 brackets matches 3 ADD.
fairy-osis,notation,,FAIRY OSIS,W5a 2026-05-27: JOB per mechanical uppercase rule.
fairy-osis,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W5a 2026-05-27: fairy set + osis chassis (body-spin + same-clip terminal). 4 brackets matches 4 ADD.
fairy-blender,notation,,FAIRY BLENDER,W5a 2026-05-27: JOB per mechanical uppercase rule.
fairy-blender,operational_notation,,TOE > SAME OUT [DEX] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W5a 2026-05-27: fairy set + blender chassis. 5 brackets matches 5 ADD.
fairy-flail,notation,,FAIRY FLAIL,W5a 2026-05-27: JOB per mechanical uppercase rule.
fairy-flail,operational_notation,,TOE > SAME OUT [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL],W5a 2026-05-27: fairy set + flail chassis. 4 brackets matches 4 ADD.
fairy-barrage,notation,,FAIRY BARRAGE,W5a 2026-05-27: JOB per mechanical uppercase rule.
fairy-barrage,operational_notation,,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],W5a 2026-05-27: fairy set + barrage's SAME IN double-dex chain. 4 brackets matches 4 ADD.
fairy-double-leg-over,notation,,FAIRY DOUBLE LEG OVER,W5b 2026-05-27: JOB per mechanical uppercase rule.
fairy-double-leg-over,operational_notation,,TOE > SAME OUT [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],W5b 2026-05-27: fairy direction-flip of pixie-double-leg-over chassis. 4 brackets matches 4 ADD.
fairy-symposium-mirage,notation,,FAIRY SYMPOSIUM MIRAGE,W5b 2026-05-27: JOB per mechanical uppercase rule.
fairy-symposium-mirage,operational_notation,,TOE > SAME OUT [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],W5b 2026-05-27: fairy direction-flip of pixie-symposium-mirage chassis. 4 brackets matches 4 ADD.
fairy-symposium-eggbeater,notation,,FAIRY SYMPOSIUM EGGBEATER,W5b 2026-05-27: JOB per mechanical uppercase rule.
fairy-symposium-eggbeater,operational_notation,,TOE > SAME OUT [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL],W5b 2026-05-27: fairy direction-flip of pixie-symposium-eggbeater chassis. 5 brackets matches 5 ADD.
fairy-symposium-whirl,notation,,FAIRY SYMPOSIUM WHIRL,W5b 2026-05-27: JOB per mechanical uppercase rule.
fairy-symposium-whirl,operational_notation,,TOE > SAME OUT [DEX] > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],W5b 2026-05-27: fairy direction-flip of pixie-symposium-whirl chassis. 5 brackets matches 5 ADD.
fairy-diving-butterfly,notation,,FAIRY DIVING BUTTERFLY,W5b 2026-05-27: JOB per mechanical uppercase rule.
fairy-diving-butterfly,operational_notation,,TOE > SAME OUT [DEX] >> DIVE [BOD] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL],W5b 2026-05-27: fairy direction-flip of darkwalk chassis. 5 brackets matches 5 ADD.
fairy-swirl,notation,,FAIRY SWIRL,W5c 2026-05-27: JOB per mechanical uppercase rule.
fairy-swirl,operational_notation,,TOE > SAME OUT [DEX] > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],W5c 2026-05-27: fairy set + swirl chassis. 4 brackets matches 4 ADD.
fairy-eclipse,notation,,FAIRY ECLIPSE,W5c 2026-05-27: JOB per mechanical uppercase rule.
fairy-eclipse,operational_notation,,TOE > SAME OUT [DEX] JUMP [BOD] > SAME INSIDE [DEL] > SAME TOE [DEL],W5c 2026-05-27: fairy direction-flip of pixie-eclipse chassis. 4 brackets matches 4 ADD.
fairy-ducking-clipper,notation,,FAIRY DUCKING CLIPPER,W5c 2026-05-27: JOB per mechanical uppercase rule.
fairy-ducking-clipper,operational_notation,,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP CLIP [XBD] [DEL],W5c 2026-05-27: fairy direction-flip of pixie-ducking-clipper chassis. 4 brackets matches 4 ADD.
fairy-ducking-illusion,notation,,FAIRY DUCKING ILLUSION,W5c 2026-05-27: JOB per mechanical uppercase rule.
fairy-ducking-illusion,operational_notation,,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP OUT [DEX] > OP TOE [DEL],W5c 2026-05-27: fairy direction-flip of pixie-ducking-illusion chassis. 4 brackets matches 4 ADD.
fairy-ducking-osis,notation,,FAIRY DUCKING OSIS,W5c 2026-05-27: JOB per mechanical uppercase rule.
fairy-ducking-osis,operational_notation,,TOE > SAME OUT [DEX] >> DUCK [BOD] >> (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W5c 2026-05-27: fairy direction-flip of pixie-ducking-osis chassis. Double [BOD] per stepping-ducking-osis precedent. 5 brackets matches 5 ADD.
fairy-ducking-whirl,notation,,FAIRY DUCKING WHIRL,W5d 2026-05-27: JOB per mechanical uppercase rule.
fairy-ducking-whirl,operational_notation,,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > OP CLIP [XBD] [DEL],W5d 2026-05-27: fairy direction-flip of pixie-ducking-whirl chassis. 5 brackets matches 5 ADD.
fairy-ducking-blender,notation,,FAIRY DUCKING BLENDER,W5d 2026-05-27: JOB per mechanical uppercase rule.
fairy-ducking-blender,operational_notation,,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W5d 2026-05-27: phoenix chassis + blender's back-spin + same-clip terminal. 6 brackets matches 6 ADD.
fairy-ducking-double-leg-over,notation,,FAIRY DUCKING DOUBLE LEG OVER,W5d 2026-05-27: JOB per mechanical uppercase rule.
fairy-ducking-double-leg-over,operational_notation,,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],W5d 2026-05-27: phoenix chassis + double-leg-over dexes + same-toe terminal. 5 brackets matches 5 ADD.
fairy-ducking-torque,notation,,FAIRY DUCKING TORQUE,W5d 2026-05-27: JOB per mechanical uppercase rule.
fairy-ducking-torque,operational_notation,,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],W5d 2026-05-27: phoenix chassis + torque chassis (op-clip terminal). 6 brackets matches 6 ADD.
fairy-gyro-butterfly,notation,,FAIRY GYRO BUTTERFLY,W5d 2026-05-27: JOB per mechanical uppercase rule.
fairy-gyro-butterfly,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],W5d 2026-05-27: gyro-butterfly chassis with fairy TOE+dex prefix. 5 brackets matches 5 ADD.
fairy-paradon,notation,,FAIRY PARADON,W5e 2026-05-27: JOB per mechanical uppercase rule.
fairy-paradon,operational_notation,,TOE > SAME OUT [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],W5e 2026-05-27: fairy set + paradon chassis. 5 brackets matches 5 ADD.
fairy-spinning-butterfly,notation,,FAIRY SPINNING BUTTERFLY,W5e 2026-05-27: JOB per mechanical uppercase rule.
fairy-spinning-butterfly,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],W5e 2026-05-27: spinning-butterfly chassis with fairy TOE+dex prefix. 5 brackets matches 5 ADD.
fairy-spinning-osis,notation,,FAIRY SPINNING OSIS,W5e 2026-05-27: JOB per mechanical uppercase rule.
fairy-spinning-osis,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],W5e 2026-05-27: spinning-osis chassis (double back-spin) with fairy prefix. 5 brackets matches 5 ADD.
fairy-gyro-whirl,notation,,FAIRY GYRO WHIRL,W5e 2026-05-27: JOB per mechanical uppercase rule.
fairy-gyro-whirl,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME IN [DEX] > OP CLIP [XBD] [DEL],W5e 2026-05-27: gyro-whirl chassis with fairy prefix. 5 brackets matches 5 ADD.
fairy-double-pickup,notation,,FAIRY DOUBLE PICKUP,W5e 2026-05-27: JOB per mechanical uppercase rule.
fairy-double-pickup,operational_notation,,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],W5e 2026-05-27: double-pickup chassis with fairy prefix. 4 brackets matches 4 ADD.
fairy-spinning-mirage,notation,,FAIRY SPINNING MIRAGE,W5f 2026-05-27: JOB per mechanical uppercase rule.
fairy-spinning-mirage,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],W5f 2026-05-27: spinning chassis + mirage IN-dex + toe terminator. 4 brackets matches 4 ADD.
fairy-spinning-illusion,notation,,FAIRY SPINNING ILLUSION,W5f 2026-05-27: JOB per mechanical uppercase rule.
fairy-spinning-illusion,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL],W5f 2026-05-27: spinning chassis + illusion OUT-dex + toe terminator. 4 brackets matches 4 ADD.
fairy-spinning-blender,notation,,FAIRY SPINNING BLENDER,W5f 2026-05-27: JOB per mechanical uppercase rule.
fairy-spinning-blender,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W5f 2026-05-27: double-back-spin chain (spinning's spin + blender's own spin). 6 brackets matches 6 ADD.
fairy-gyro-mirage,notation,,FAIRY GYRO MIRAGE,W5f 2026-05-27: JOB per mechanical uppercase rule.
fairy-gyro-mirage,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL],W5f 2026-05-27: gyro-mirage chassis with fairy prefix. 4 brackets matches 4 ADD.
fairy-double-over-down,notation,,FAIRY DOUBLE OVER DOWN,W5f 2026-05-27: JOB per mechanical uppercase rule.
fairy-double-over-down,operational_notation,,TOE > SAME OUT [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],W5f 2026-05-27: double-over-down chassis with fairy prefix. 5 brackets matches 5 ADD.
spinning-mirage,notation,,SPINNING MIRAGE,W6a 2026-05-27: JOB per mechanical uppercase rule.
spinning-mirage,operational_notation,,CLIP > (back) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],W6a 2026-05-27: spinning chassis + mirage IN-dex + toe terminator. 3 brackets matches 3 ADD.
spinning-illusion,notation,,SPINNING ILLUSION,W6a 2026-05-27: JOB per mechanical uppercase rule.
spinning-illusion,operational_notation,,CLIP > (back) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL],W6a 2026-05-27: spinning chassis + illusion OUT-dex + toe terminator. 3 brackets matches 3 ADD.
spinning-legover,notation,,SPINNING LEGOVER,W6a 2026-05-27: JOB per mechanical uppercase rule.
spinning-legover,operational_notation,,CLIP > (back) SPIN [BOD] > OP OUT [DEX] > SAME TOE [DEL],W6a 2026-05-27: spinning chassis + legover's OUT-dex + same-toe terminator. 3 brackets matches 3 ADD.
spinning-blender,notation,,SPINNING BLENDER,W6a 2026-05-27: JOB per mechanical uppercase rule.
spinning-blender,operational_notation,,CLIP > (back) SPIN [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W6a 2026-05-27: double back-spin chain. 5 brackets matches 5 ADD.
spinning-swirl,notation,,SPINNING SWIRL,W6a 2026-05-27: JOB per mechanical uppercase rule.
spinning-swirl,operational_notation,,CLIP > (back) SPIN [BOD] > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],W6a 2026-05-27: spinning chassis + swirl's back-swirl dex + same-clip terminator. 4 brackets matches 4 ADD.
spinning-toe-stall,notation,,SPINNING TOE STALL,W6b 2026-05-27: JOB per mechanical uppercase rule.
spinning-toe-stall,operational_notation,,CLIP > (back) SPIN [BOD] > OP TOE [DEL],W6b 2026-05-27: minimal spinning compound (spin + toe stall). 2 brackets matches 2 ADD.
spinning-guay,notation,,SPINNING GUAY,W6b 2026-05-27: JOB per mechanical uppercase rule.
spinning-guay,operational_notation,,CLIP > (back) SPIN [BOD] > OP IN [DEX] > SAME INSIDE [DEL],W6b 2026-05-27: spinning chassis + guay's IN-dex + inside-stall terminator. 3 brackets matches 3 ADD.
spinning-barfly,notation,,SPINNING BARFLY,W6b 2026-05-27: JOB per mechanical uppercase rule.
spinning-barfly,operational_notation,,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],W6b 2026-05-27: spinning chassis + barfly's two-SAME-OUT-dex chain + [DEL] [XBD] terminal. 5 brackets matches 5 ADD.
spinning-symposium-mirage,notation,,SPINNING SYMPOSIUM MIRAGE,W6b 2026-05-27: JOB per mechanical uppercase rule.
spinning-symposium-mirage,operational_notation,,CLIP > (back) SPIN [BOD] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],W6b 2026-05-27: spinning-symposium-whirl chassis with mirage's op-toe terminator. 4 brackets matches 4 ADD.
spinning-double-leg-over,notation,,SPINNING DOUBLE LEG OVER,W6b 2026-05-27: JOB per mechanical uppercase rule.
spinning-double-leg-over,operational_notation,,CLIP > (back) SPIN [BOD] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],W6b 2026-05-27: spinning chassis + double-leg-over chassis. 4 brackets matches 4 ADD.
spinning-drifter,notation,,SPINNING DRIFTER,W6c 2026-05-27: JOB per mechanical uppercase rule.
spinning-drifter,operational_notation,,CLIP > (back) SPIN [BOD] > OP IN [DEX] > SAME CLIP [XBD] [DEL],W6c 2026-05-27: spinning chassis + drifter chain. 4 brackets matches 4 ADD.
spinning-ducking-mirage,notation,,SPINNING DUCKING MIRAGE,W6c 2026-05-27: JOB per mechanical uppercase rule.
spinning-ducking-mirage,operational_notation,,CLIP > (back) SPIN [BOD] > DUCK [BOD] > OP IN [DEX] > OP TOE [DEL],W6c 2026-05-27: spinning + DUCK [BOD] + mirage chassis. 4 brackets matches 4 ADD.
spinning-ducking-illusion,notation,,SPINNING DUCKING ILLUSION,W6c 2026-05-27: JOB per mechanical uppercase rule.
spinning-ducking-illusion,operational_notation,,CLIP > (back) SPIN [BOD] > DUCK [BOD] > OP OUT [DEX] > OP TOE [DEL],W6c 2026-05-27: spinning-ducking chassis + illusion OUT-dex + op-toe terminator. 4 brackets matches 4 ADD.
spinning-ducking-pickup,notation,,SPINNING DUCKING PICKUP,W6c 2026-05-27: JOB per mechanical uppercase rule.
spinning-ducking-pickup,operational_notation,,CLIP > (back) SPIN [BOD] > DUCK [BOD] > OP IN [DEX] > SAME TOE [DEL],W6c 2026-05-27: spinning-ducking chassis + pickup same-toe terminal. 4 brackets matches 4 ADD.
spinning-ducking-legover,notation,,SPINNING DUCKING LEGOVER,W6c 2026-05-27: JOB per mechanical uppercase rule.
spinning-ducking-legover,operational_notation,,CLIP > (back) SPIN [BOD] > DUCK [BOD] > OP OUT [DEX] > SAME TOE [DEL],W6c 2026-05-27: spinning-ducking chassis + legover OUT-dex + same-toe terminal. 4 brackets matches 4 ADD.
spinning-ducking-clipper,notation,,SPINNING DUCKING CLIPPER,W6d 2026-05-27: JOB per mechanical uppercase rule.
spinning-ducking-clipper,operational_notation,,CLIP > (back) SPIN [BOD] > DUCK [BOD] > OP CLIP [XBD] [DEL],W6d 2026-05-27: spinning-ducking chassis collapsed to clipper terminal. 4 brackets matches 4 ADD.
spinning-ducking-osis,notation,,SPINNING DUCKING OSIS,W6d 2026-05-27: JOB per mechanical uppercase rule.
spinning-ducking-osis,operational_notation,,CLIP > (back) SPIN [BOD] > DUCK [BOD] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W6d 2026-05-27: spinning-ducking chassis + osis's body-spin. Triple [BOD]. 5 brackets matches 5 ADD.
spinning-ducking-whirl,notation,,SPINNING DUCKING WHIRL,W6d 2026-05-27: JOB per mechanical uppercase rule.
spinning-ducking-whirl,operational_notation,,CLIP > (back) SPIN [BOD] > DUCK [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],W6d 2026-05-27: spinning-ducking chassis + whirl IN-dex + cross-body clipper terminator. 5 brackets matches 5 ADD.
spinning-ducking-blender,notation,,SPINNING DUCKING BLENDER,W6d 2026-05-27: JOB per mechanical uppercase rule.
spinning-ducking-blender,operational_notation,,CLIP > (back) SPIN [BOD] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W6d 2026-05-27: spinning-ducking chassis + blender chassis. Triple [BOD]. 6 brackets matches 6 ADD.
spinning-symposium-eggbeater,notation,,SPINNING SYMPOSIUM EGGBEATER,W6d 2026-05-27: JOB per mechanical uppercase rule.
spinning-symposium-eggbeater,operational_notation,,CLIP > (back) SPIN [BOD] > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL],W6d 2026-05-27: spinning-symposium-whirl chassis + eggbeater's two-OP-OUT-dex chain. 5 brackets matches 5 ADD.
spinning-symposium-illusion,notation,,SPINNING SYMPOSIUM ILLUSION,W6e 2026-05-27: JOB per mechanical uppercase rule.
spinning-symposium-illusion,operational_notation,,CLIP > (back) SPIN [BOD] > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL],W6e 2026-05-27: spinning-symposium-mirage chassis with illusion OUT-dex. 4 brackets matches 4 ADD.
spinning-symposium-pickup,notation,,SPINNING SYMPOSIUM PICKUP,W6e 2026-05-27: JOB per mechanical uppercase rule.
spinning-symposium-pickup,operational_notation,,CLIP > (back) SPIN [BOD] > (no plant while) OP IN [BOD] [DEX] > SAME TOE [DEL],W6e 2026-05-27: spinning-symposium chassis with pickup same-toe terminator. 4 brackets matches 4 ADD.
double-spinning-clipper,notation,,DOUBLE SPINNING CLIPPER,W6e 2026-05-27: JOB per mechanical uppercase rule.
double-spinning-clipper,operational_notation,,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W6e 2026-05-27: double back-spin + same-clipper terminator. 4 brackets matches 4 ADD.
double-spinning-osis,notation,,DOUBLE SPINNING OSIS,W6e 2026-05-27: JOB per mechanical uppercase rule.
double-spinning-osis,operational_notation,,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],W6e 2026-05-27: triple back-spin (double-spinning + osis's own spin). 5 brackets matches 5 ADD.
double-spinning-whirl,notation,,DOUBLE SPINNING WHIRL,W6e 2026-05-27: JOB per mechanical uppercase rule.
double-spinning-whirl,operational_notation,,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],W6e 2026-05-27: double back-spin + whirl's IN-dex + cross-body clipper. 5 brackets matches 5 ADD.
double-spinning-butterfly,notation,,DOUBLE SPINNING BUTTERFLY,W6f 2026-05-27: JOB per mechanical uppercase rule.
double-spinning-butterfly,operational_notation,,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],W6f 2026-05-27: double back-spin + butterfly's OP OUT dex + cross-body clipper. 5 brackets matches 5 ADD.
double-spinning-mirage,notation,,DOUBLE SPINNING MIRAGE,W6f 2026-05-27: JOB per mechanical uppercase rule.
double-spinning-mirage,operational_notation,,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],W6f 2026-05-27: double back-spin + mirage's OP IN dex + toe terminator. 4 brackets matches 4 ADD.
spinning-paradox-torque,notation,,SPINNING PARADOX TORQUE,W6f 2026-05-27: JOB per mechanical uppercase rule.
spinning-paradox-torque,operational_notation,,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],W6f 2026-05-27: spinning-paradox-whirl chassis + torque's back-spin + op-clip terminator. 6 brackets matches 6 ADD.
spinning-symposium-swirl,notation,,SPINNING SYMPOSIUM SWIRL,W6f 2026-05-27: JOB per mechanical uppercase rule.
spinning-symposium-swirl,operational_notation,,CLIP > (back) SPIN [BOD] > (no plant while) SAME BACK SWIRL [BOD] [DEX] > SAME CLIP [XBD] [DEL],W6f 2026-05-27: spinning-symposium chassis adapted to swirl's back-swirl dex. 5 brackets matches 5 ADD.
spinning-butterfly-swirl,notation,,SPINNING BUTTERFLY SWIRL,W6f 2026-05-27: JOB per mechanical uppercase rule.
spinning-butterfly-swirl,operational_notation,,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],W6f 2026-05-27: spinning chassis + butterfly-swirl compound base. 5 brackets matches 5 ADD.
gyro-osis,notation,,GYRO OSIS,W7a 2026-05-27: JOB per mechanical uppercase rule.
gyro-osis,operational_notation,,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W7a 2026-05-27: gyro spin + osis chassis (double back-spin). 4 brackets matches 4 ADD.
gyro-pickup,notation,,GYRO PICKUP,W7a 2026-05-27: JOB per mechanical uppercase rule.
gyro-pickup,operational_notation,,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME TOE [DEL],W7a 2026-05-27: gyro chassis + pickup SAME IN dex + same-toe terminator. 3 brackets matches 3 ADD.
gyro-legover,notation,,GYRO LEGOVER,W7a 2026-05-27: JOB per mechanical uppercase rule.
gyro-legover,operational_notation,,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > SAME TOE [DEL],W7a 2026-05-27: gyro chassis + legover SAME OUT dex + same-toe terminator. 3 brackets matches 3 ADD.
gyro-flail,notation,,GYRO FLAIL,W7a 2026-05-27: JOB per mechanical uppercase rule.
gyro-flail,operational_notation,,CLIP > (back) SPIN [BOD] > (no plant while) SAME OUT [BOD] [DEX] > OP TOE [DEL],W7a 2026-05-27: gyro chassis + flail's no-plant body+dex flipped to SAME OUT. 4 brackets matches 4 ADD.
gyro-barfly,notation,,GYRO BARFLY,W7a 2026-05-27: JOB per mechanical uppercase rule.
gyro-barfly,operational_notation,,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],W7a 2026-05-27: gyro spin + barfly's two-SAME-OUT-dex chain. 5 brackets matches 5 ADD.
gyro-blender,notation,,GYRO BLENDER,W7b 2026-05-27: JOB per mechanical uppercase rule.
gyro-blender,operational_notation,,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],W7b 2026-05-27: gyro + blender chassis (double back-spin). 5 brackets matches 5 ADD.
gyro-drifter,notation,,GYRO DRIFTER,W7b 2026-05-27: JOB per mechanical uppercase rule.
gyro-drifter,operational_notation,,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],W7b 2026-05-27: gyro chassis + drifter SAME IN dex + same-clip terminal. 4 brackets matches 4 ADD.
gyro-eggbeater,notation,,GYRO EGGBEATER,W7b 2026-05-27: JOB per mechanical uppercase rule.
gyro-eggbeater,operational_notation,,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],W7b 2026-05-27: gyro flips eggbeater's first dex. 4 brackets matches 4 ADD.
gyro-double-pickup,notation,,GYRO DOUBLE PICKUP,W7b 2026-05-27: JOB per mechanical uppercase rule.
